id,Name,Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level
572,Reda Bouteldja,16,Female,Bir Mourad Raïs,7th,7.3,6.9,81,2,0.4,8,1,3,1,1.3,61,10,0.4,0.3,0.5,Education,6,7.1,7.8
573,Islam Mahdi,17,Male,Djelfa,9th,6.0,6.0,70,2,1.5,5,9,4,1,0.9,66,13,2.3,0.0,1.5,Browsing,2,5.8,9.2
574,Adila Djelloul,16,Female,Naama,9th,4.8,5.1,88,2,0.4,10,5,9,1,1.0,142,16,3.2,1.8,0.9,Other,2,5.4,10.0
575,Kahina Kadri,16,Male,Tébessa,12th,7.3,10.0,94,4,0.5,1,10,4,0,1.7,122,19,2.1,2.2,0.0,Browsing,2,7.1,10.0
576,Mehrez Maouche,15,Prefer not to say,Rouiba,12th,1.5,8.0,97,7,1.7,1,8,5,1,0.3,111,15,2.3,2.7,2.0,Social Media,1,9.7,7.7
577,Ghiles Zerrouki,18,Female,El M'Ghair,9th,1.8,7.4,75,2,0.6,7,2,1,1,0.9,122,19,1.5,1.9,0.2,Browsing,9,8.6,7.7
578,Seifeddine Fares,15,Male,Souk Ahras,10th,2.5,6.1,67,9,1.9,3,1,7,0,0.6,43,19,2.7,1.3,1.3,Education,8,7.9,8.1
579,Zaki Ghazi,16,Male,Lounassa,9th,2.7,8.5,74,10,1.0,7,8,2,1,1.7,58,16,0.9,1.8,1.8,Education,4,5.2,5.5
580,Okba Tigha,16,Male,Bou Saada,8th,4.2,6.1,84,9,0.0,9,1,10,1,0.7,90,6,0.9,0.0,1.8,Browsing,4,5.7,5.0
581,Ahmed Attia,14,Male,Taoura,10th,5.3,7.6,77,6,0.5,9,10,10,1,2.4,120,15,3.1,2.3,0.1,Education,10,5.5,10.0
582,Noureddine Messaoud,18,Prefer not to say,Freha,8th,4.1,5.0,54,1,0.2,7,9,9,1,0.7,31,11,3.1,0.9,0.7,Education,8,7.7,8.4
583,Wafa Lazem,16,Prefer not to say,Adrar,7th,4.9,6.7,52,10,1.3,9,3,1,0,0.1,67,10,0.8,1.8,0.6,Gaming,8,6.1,7.5
584,Tarek Brahimi,17,Prefer not to say,El Oued,7th,5.1,4.6,58,8,0.4,2,6,7,0,0.2,137,12,1.3,2.7,1.8,Gaming,1,4.8,10.0
585,Chawki Laid,13,Female,Khemis Miliana,11th,6.0,6.6,96,2,1.5,7,2,7,0,1.0,112,9,3.5,1.9,1.3,Browsing,9,5.7,10.0
586,Majid Benabdallah,13,Male,Bougaa,7th,6.7,5.8,97,6,0.4,8,9,9,1,0.9,107,19,3.3,2.6,1.6,Browsing,4,6.3,10.0
587,Djallel Slimani,13,Female,In Guezzam,11th,2.9,4.3,96,9,0.8,8,2,3,0,0.8,142,5,2.6,2.0,0.6,Browsing,4,8.6,9.2
588,Zahia Khammar,16,Female,Guelma,10th,5.0,6.6,50,2,0.9,9,3,5,0,1.1,69,16,3.6,1.7,2.2,Other,7,4.8,10.0
589,Okba Ahmed,14,Prefer not to say,Bordj Bou Arréridj,7th,5.6,6.0,60,10,1.7,9,4,10,0,1.1,92,7,2.8,1.5,0.3,Education,6,4.8,10.0
590,Jaouad Tebboune,13,Male,Naama,12th,4.2,6.2,50,8,1.2,8,3,6,0,0.6,20,12,1.5,2.8,1.1,Education,2,4.8,8.2
591,Heythem Trabelsi,19,Prefer not to say,Béchar,12th,4.3,5.4,80,5,1.1,1,8,6,1,0.5,23,13,2.1,2.2,0.6,Social Media,8,7.1,9.0
592,Tayeb Ouattara,15,Prefer not to say,Mostaganem,10th,4.8,6.5,90,6,1.9,1,2,2,1,0.5,106,11,3.5,0.0,1.2,Education,8,8.0,9.4
593,Soraya Guerfi,17,Male,Sétif,11th,2.6,6.1,94,3,1.2,5,5,3,0,1.1,128,17,2.0,0.3,1.0,Gaming,4,11.2,7.8
594,Lyes Daoudi,13,Male,Bazer Sakhra,8th,0.3,4.5,54,3,3.4,6,1,5,1,1.1,47,18,2.5,2.4,1.3,Browsing,9,3.3,7.5
595,Bilal Lounes,17,Female,Ouargla,11th,0.9,8.8,84,6,1.4,10,6,1,0,0.5,23,7,1.3,2.4,0.2,Social Media,4,10.2,2.1
596,Yasmine Mecheri,13,Male,Boumerdès,7th,2.7,6.8,62,1,1.3,10,1,9,0,1.5,34,8,0.8,4.0,1.1,Gaming,2,4.7,6.4
597,Chafik Merabet,14,Prefer not to say,Boukhelifa,8th,6.8,6.1,92,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,Other,5,2.9,9.7
598,Sabah Moussaoui,16,Male,Bazer Sakhra,9th,7.8,5.5,96,8,1.6,8,1,6,0,1.1,74,18,2.7,3.2,0.0,Gaming,6,6.8,10.0
599,Lyes Fekir,15,Female,Souk Ahras,12th,7.1,4.7,80,5,1.2,1,8,7,1,1.0,148,17,2.7,0.3,1.5,Social Media,7,6.7,10.0
600,Zineb Guerfi,18,Female,Messaad,12th,5.4,5.3,59,4,0.0,7,5,3,0,1.1,24,18,2.6,2.4,1.6,Browsing,4,4.5,10.0
601,Yasmine Benguettaf,13,Prefer not to say,Amizour,11th,5.7,6.0,74,1,0.4,8,3,9,1,1.0,63,20,2.6,0.0,1.7,Browsing,8,3.3,10.0
602,Samy Ayachi,13,Female,Tébessa,8th,6.1,7.0,96,5,1.1,3,5,8,0,0.8,87,8,0.9,1.9,2.2,Gaming,10,6.8,8.7
603,Najia Ouali,13,Prefer not to say,Bordj Bou Arréridj,11th,5.0,6.4,79,9,1.1,9,9,9,1,0.8,125,18,4.9,1.7,1.0,Other,1,5.1,10.0
604,Djamel Boussaada,16,Male,Khraicia,12th,6.5,6.3,99,9,1.1,1,2,6,0,1.2,110,17,2.2,0.8,0.5,Education,2,2.9,10.0
605,Wissam Ali,17,Female,Medjana,9th,4.0,7.5,54,9,1.2,6,6,8,1,1.3,130,11,3.1,2.8,1.4,Education,10,10.8,10.0
606,Lina Cherif,19,Male,Benifouda,8th,5.6,7.3,83,0,1.2,5,10,7,1,1.3,31,16,4.3,2.4,1.5,Browsing,4,8.5,10.0
607,Aicha Haddouche,14,Female,Ferraoun,7th,4.5,6.8,67,0,1.0,9,3,9,1,1.8,95,16,3.8,1.9,0.2,Education,2,5.6,10.0
608,Feryel Lazem,19,Prefer not to say,Tessaout,8th,5.4,7.6,51,0,0.8,1,9,1,1,1.5,21,5,1.9,3.6,0.7,Browsing,7,6.3,8.5
609,Zahia Djelloul,13,Prefer not to say,Guerrouma,11th,6.0,4.3,97,10,0.8,5,9,7,0,0.1,33,17,4.2,1.0,0.5,Education,3,7.4,10.0
610,Hana Ben Said,16,Male,Aïn Defla,12th,5.4,3.9,85,8,0.1,4,3,7,1,0.3,148,20,3.0,1.7,1.0,Gaming,5,8.0,10.0
611,Yahia Saidi,13,Male,Oued Zénati,9th,4.1,8.1,71,3,0.5,2,3,2,0,1.4,52,14,1.6,1.5,1.2,Other,10,3.1,7.0
612,Yahia Kamel,19,Prefer not to say,Saoula,7th,2.4,5.6,80,7,1.9,8,7,4,1,1.9,102,11,3.1,1.7,1.1,Other,5,5.7,8.6
613,Yassin Touam,14,Female,Ahl El Ksar,8th,0.0,6.0,75,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,Education,1,3.6,5.2
614,Hayat Chikh,17,Male,Les Eucalyptus,10th,3.6,8.5,97,8,1.7,9,1,3,0,0.4,54,5,2.5,2.5,1.3,Education,10,5.4,6.4
615,Fatiha Ben Messaoud,15,Prefer not to say,Aïn Defla,10th,1.7,5.4,50,10,1.5,4,2,4,0,0.5,75,6,3.2,1.1,0.2,Education,1,7.1,6.0
616,Hocine Khelifi,19,Male,Tichy,11th,4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3
617,Omar Bendjebbar,18,Male,Biskra,9th,7.0,5.0,88,1,0.5,5,8,3,0,0.8,142,9,0.5,1.7,0.7,Social Media,2,4.5,10.0
618,Hassan Boudjemaa,19,Male,Dély Ibrahim,10th,4.9,6.1,71,8,1.8,2,5,8,0,1.0,64,11,1.0,0.0,1.2,Gaming,8,5.0,6.3
619,Ahmed Louanchi,16,Male,Béchar,9th,1.7,7.3,92,7,1.9,6,8,5,1,1.7,39,12,3.8,1.1,1.3,Education,8,6.6,6.1
620,Camila Ferhat,17,Male,Guerrouma,11th,7.6,6.6,76,4,0.0,7,3,9,1,1.3,79,12,1.5,2.9,2.1,Other,7,6.8,10.0
621,Ikram Haddad,17,Male,Omar,11th,4.6,5.8,97,3,2.3,7,8,2,0,2.1,40,20,3.9,1.5,1.2,Browsing,6,8.4,10.0
622,Okba Bousmaha,16,Male,Aïn Témouchent,11th,8.3,6.9,97,0,0.8,7,9,2,0,1.3,70,7,2.7,1.9,0.8,Gaming,4,3.7,10.0
623,Farid Hadj,13,Female,Maatkas,7th,5.3,4.4,68,10,0.2,2,7,6,0,0.4,136,9,2.7,1.9,1.0,Gaming,4,10.1,10.0
624,Najia Ben Toumi,16,Female,Ouaguenoun,7th,7.7,6.9,81,10,1.3,5,2,9,0,1.7,75,16,3.8,2.9,0.0,Other,6,4.8,10.0
625,Ahlem Amrouche,18,Male,Oum El Bouaghi,11th,5.8,4.8,69,0,1.6,10,5,4,0,1.3,84,12,4.0,1.3,1.1,Education,3,5.5,10.0
626,Adila Djaout,17,Prefer not to say,Saharij,9th,3.6,4.4,51,2,1.3,6,3,7,1,0.7,29,11,2.0,1.5,2.1,Social Media,6,6.3,7.7
627,Islam Merouane,15,Prefer not to say,El Attaf,10th,2.2,7.2,79,0,1.5,8,1,3,0,0.1,56,9,2.5,0.7,0.7,Gaming,6,7.0,4.7
628,Houria Dris,16,Male,Douera,8th,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2
629,Ziad Baghdad,15,Female,Khenchela,9th,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,3.3,2.8,1.8,Education,3,4.9,10.0
630,Lotfi Fekir,16,Male,Tébessa,7th,5.3,8.7,91,2,2.2,6,7,8,1,1.1,146,15,2.3,2.5,1.0,Other,5,7.8,10.0
631,Habiba Ahmed,18,Prefer not to say,Abi Youcef,9th,2.1,6.7,90,2,1.0,10,6,5,1,1.9,28,18,4.0,0.6,1.7,Education,10,7.3,7.5
632,Celia Rabhi,18,Female,Chir,8th,3.3,7.6,70,0,1.8,7,4,8,1,0.3,51,6,2.8,3.3,0.9,Social Media,10,5.5,7.8
633,Souhila Toubal,14,Prefer not to say,Aïn Torki,8th,4.0,6.2,65,3,0.9,7,8,3,1,1.2,39,8,2.3,0.8,2.0,Social Media,4,5.7,6.4
634,Yasmine Attia,14,Prefer not to say,Ziouane,8th,7.1,7.9,84,10,0.5,5,6,6,0,1.1,110,6,0.0,3.2,0.5,Education,6,10.2,9.8
635,Yahia Ferhat,16,Female,Aïn Torki,11th,3.8,7.3,95,5,0.0,1,5,3,0,0.4,63,5,3.7,2.1,0.0,Other,1,7.9,8.2
636,Hassan Chikh,18,Prefer not to say,Dréan,7th,5.2,9.5,89,1,0.5,10,10,3,1,0.4,133,16,3.4,0.7,0.9,Education,1,7.1,10.0
637,Djallel Amara,13,Male,Ghardaïa,9th,6.3,5.3,82,7,0.5,3,6,8,1,0.4,45,19,2.5,3.0,0.2,Browsing,1,3.7,10.0
638,Houria Fares,16,Prefer not to say,Aïn Soltane,12th,3.2,7.8,57,10,3.1,4,3,2,1,1.5,103,12,1.9,1.6,1.4,Gaming,9,7.2,7.3
639,Soraya Moussaoui,19,Female,Tindouf,10th,4.9,5.9,88,8,0.9,4,8,1,0,1.3,21,20,3.6,0.7,0.5,Education,9,4.6,10.0
640,Abdelkader Chikh,16,Male,El M'Ghair,11th,6.9,6.6,76,3,0.0,3,8,3,1,0.6,24,19,0.9,1.5,0.8,Other,6,7.2,10.0
641,Radia Zouaoui,15,Female,El Hachimia,11th,6.6,5.9,65,2,1.1,2,7,4,0,0.9,113,16,2.4,2.0,0.7,Other,3,7.0,10.0
642,Feriel Slimani,18,Female,Souk Ahras,8th,4.1,6.7,56,5,0.8,2,9,7,0,1.0,121,12,4.9,4.0,1.2,Gaming,6,7.2,10.0
643,Sabah Bendjebbar,19,Prefer not to say,Saoula,10th,2.2,4.8,80,7,0.9,5,9,9,1,1.0,30,10,0.9,0.0,0.1,Social Media,9,9.5,3.3
644,Oumaima Sahraoui,17,Prefer not to say,Biskra,11th,4.8,5.4,65,6,0.3,1,4,7,1,1.7,103,17,0.4,0.8,0.4,Browsing,7,8.0,8.8
645,Samir Dekkiche,18,Female,Biskra,11th,4.8,6.8,51,2,0.9,7,2,10,1,1.0,79,16,2.5,0.0,2.1,Browsing,1,3.3,8.7
646,Khadija Saidane,14,Male,Saharij,12th,0.0,7.0,89,7,1.7,1,4,10,0,1.5,60,7,2.7,0.3,0.9,Education,8,4.4,2.1
647,Cherif Selmane,16,Male,Chaâbet El Ham,9th,4.0,9.0,92,0,1.2,9,3,6,0,2.1,97,16,1.1,2.2,0.7,Social Media,2,6.4,7.9
648,Soufiane Ouattara,18,Female,Mila,7th,7.9,6.5,55,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,Gaming,9,2.4,10.0
649,Reda Khelifa,13,Male,Salah Annaba,12th,1.3,3.4,68,9,1.0,1,10,9,1,1.4,95,5,2.1,0.0,0.7,Other,2,7.7,4.6
650,Mahmoud Amrouche,16,Prefer not to say,Tizi Ouzou,11th,4.1,7.9,100,2,1.5,9,5,8,0,1.5,53,10,3.1,1.2,1.1,Gaming,8,7.1,7.5
651,Hanane Boudjemaa,18,Prefer not to say,Aït Oumalou,8th,4.3,7.8,78,8,1.6,6,1,10,1,0.9,42,19,2.0,0.0,0.8,Education,9,7.6,7.0
652,Ali Tebboune,16,Prefer not to say,Lounassa,10th,4.8,6.1,79,6,1.3,7,10,2,1,1.1,78,8,2.2,1.9,0.1,Other,4,5.6,9.0
653,Sabrina Djaballah,15,Male,Reghaïa,11th,6.1,6.7,66,7,1.3,3,8,4,0,0.8,48,12,1.4,2.6,0.3,Browsing,1,3.1,10.0
654,Nihel Sifi,16,Male,Berrihane,8th,6.6,9.4,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,Gaming,5,3.5,10.0
655,Feriel Ouali,17,Female,Tébessa,9th,6.7,7.5,67,3,0.2,3,5,9,0,1.6,125,17,1.7,2.6,1.5,Browsing,4,6.1,10.0
656,Naima Rahmouni,14,Male,Djelfa,9th,4.4,6.3,66,6,0.5,2,3,8,0,0.6,64,8,2.2,1.5,1.2,Other,10,5.9,7.8
657,Ouassim El Fassi,15,Male,Naama,9th,2.2,3.8,94,6,1.2,8,9,6,1,1.4,100,16,3.5,3.3,1.2,Other,4,6.3,10.0
658,Meriem Baghdad,16,Male,Guerrouma,12th,5.1,6.9,83,1,1.5,3,1,8,1,1.7,110,10,3.4,1.5,0.7,Gaming,2,6.0,10.0
659,Rabah Tebboune,14,Male,Hoceinia,9th,2.0,8.0,65,5,0.0,1,1,5,1,1.1,51,5,2.4,1.3,1.6,Other,6,6.0,3.7
660,Nasreddine Mahdi,19,Prefer not to say,Rouina,10th,3.1,8.0,98,10,0.9,4,4,9,0,1.1,45,19,2.2,0.5,1.8,Education,9,4.5,6.5
661,Nour Arar,14,Male,Naama,9th,6.9,7.1,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,Gaming,10,6.9,7.9
662,Mustapha Rahmouni,19,Female,Aïn Soltane,9th,3.3,9.3,85,4,0.5,1,9,10,1,1.0,59,5,2.7,3.3,1.5,Education,9,4.5,6.8
663,Sabah Dris,19,Male,Mascara,11th,5.4,6.0,98,2,0.4,9,8,6,1,1.2,25,9,3.8,1.8,1.1,Browsing,2,4.3,10.0
664,Sarah Hadj,17,Female,Biskra,7th,3.8,7.9,61,5,0.0,2,6,6,0,0.6,57,9,3.7,0.7,0.9,Other,7,2.7,7.2
665,Hakim Iles,14,Female,Hammam Soukhna,10th,6.0,5.6,67,7,0.8,8,4,3,0,0.8,150,16,2.0,1.4,0.5,Education,9,3.7,10.0
666,Fateh Bousmaha,15,Male,El Hadaiek,12th,3.6,5.5,73,8,1.8,6,4,10,1,1.0,52,16,1.4,0.1,1.7,Browsing,8,3.5,6.6
667,Mahmoud Iles,17,Female,Constantine,9th,6.1,6.6,52,10,0.9,7,4,1,0,0.9,39,18,3.6,1.1,1.0,Education,2,4.1,10.0
668,Safia Ibrahim,19,Prefer not to say,Mékhadma,11th,5.5,8.0,80,3,1.0,2,3,7,0,1.3,81,19,1.0,2.3,1.0,Education,1,10.0,10.0
669,Siham Boussaada,14,Female,Tizi Ouzou,9th,2.6,6.5,51,3,0.9,4,8,2,1,1.4,28,15,2.8,1.7,1.8,Browsing,3,9.7,7.4
670,Samy Djaballah,18,Prefer not to say,Tifra,12th,5.6,7.8,53,0,1.2,8,5,1,0,0.5,65,9,3.5,1.4,0.3,Gaming,8,1.6,9.7
671,Sarah Henni,15,Prefer not to say,Husseïn Dey,7th,5.5,5.3,69,0,0.0,1,7,1,1,0.0,45,12,1.9,1.3,0.9,Social Media,9,6.6,9.4
672,Djamel Chikh,15,Male,Sidi Mezghiche,11th,6.7,5.6,78,7,0.9,10,8,2,0,1.9,47,9,1.7,2.6,2.2,Other,1,9.8,10.0
673,Donia Boudjemaa,15,Prefer not to say,El Bayadh,12th,5.1,5.8,100,10,1.8,2,10,6,1,0.0,123,20,1.8,2.5,0.6,Social Media,10,6.5,10.0
674,Lotfi Abbas,15,Prefer not to say,Hamam Righa,12th,5.6,6.3,53,5,1.5,5,7,8,0,0.8,82,10,1.5,0.6,1.7,Gaming,9,6.0,8.2
675,Chawki Boussaada,17,Male,Sétif,10th,9.4,5.8,61,1,1.5,3,3,9,0,1.5,137,10,2.7,0.6,2.0,Gaming,3,3.6,10.0
676,Samira Tayebi,19,Male,Messaad,11th,3.6,8.3,61,8,0.5,4,8,8,0,1.3,40,9,3.3,2.2,1.7,Social Media,6,5.6,7.5
677,Kamal Djelali,16,Male,Mascara,8th,4.8,7.7,50,8,0.9,2,4,8,1,0.9,102,8,2.2,0.6,1.7,Social Media,4,8.9,7.4
678,Oumaima Bouteldja,15,Prefer not to say,Sidi Khelifa,12th,8.2,5.1,76,4,1.1,6,1,4,1,0.9,29,12,2.3,1.4,1.5,Gaming,3,7.5,10.0
679,Zineb Guerfi,19,Prefer not to say,Naama,9th,6.0,7.7,96,3,0.8,10,6,3,0,0.4,132,5,1.9,2.0,2.2,Education,1,4.8,9.7
680,Fatima Dris,15,Prefer not to say,Bouderbala,7th,1.9,7.7,58,4,1.5,7,9,7,0,1.7,103,11,2.3,0.8,0.2,Gaming,8,2.8,5.4
681,Tayeb Bouteldja,18,Female,Béni Abbès,10th,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,3.6,1.2,0.3,Other,10,6.6,10.0
682,Meriem Bachiri,16,Female,Chaâbet El Ham,8th,7.9,6.5,61,9,2.1,1,3,7,1,1.1,49,5,2.6,1.5,2.3,Other,5,5.7,10.0
683,Jawaher Trabelsi,14,Female,El M'Ghair,11th,5.7,5.5,77,6,1.1,10,1,9,1,1.0,114,10,3.0,1.4,2.2,Social Media,5,7.9,10.0
684,Ahlem Ben Aoun,16,Female,Aïn Oussara,9th,4.7,5.2,72,1,2.3,6,4,1,1,1.7,26,13,1.6,0.3,0.7,Social Media,1,6.3,7.1
685,Malika Guerfi,16,Prefer not to say,Khenchela,8th,4.4,10.0,78,9,2.3,8,3,4,1,0.2,114,12,3.2,2.1,0.3,Browsing,9,6.0,9.4
686,Chafik Khelifa,14,Prefer not to say,Tébessa,9th,7.8,8.6,54,4,1.3,7,3,4,0,1.8,46,18,1.0,2.5,0.5,Browsing,8,7.5,10.0
687,Mohamed Ben Messaoud,14,Prefer not to say,Khraicia,11th,6.0,7.5,63,0,0.8,8,10,6,1,0.7,66,16,2.4,1.5,0.7,Other,5,3.8,10.0
688,Karima Ouahrani,17,Prefer not to say,Aïn Zaouia,8th,8.9,4.8,80,3,1.6,8,9,6,0,1.4,60,10,1.9,2.9,0.3,Gaming,3,6.0,10.0
689,Lamia Guerfi,15,Female,In Salah,9th,5.8,9.9,50,7,2.2,5,7,6,0,1.2,137,12,3.1,1.1,1.3,Social Media,6,4.1,10.0
690,Zahra Lazem,15,Female,El Taref,8th,5.4,7.8,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,Gaming,9,1.4,10.0
691,Okba Benaissa,15,Male,Messaâd,11th,5.4,3.6,97,2,1.0,6,8,8,0,1.2,99,11,2.6,0.4,1.2,Gaming,1,8.2,10.0
692,Lotfi Zaoui,14,Male,Beni Douala,9th,5.0,8.7,93,8,0.0,7,5,2,1,1.3,119,15,1.4,2.0,1.5,Education,3,5.3,9.4
693,Yasmina Ibrahim,18,Prefer not to say,Ouargla,10th,5.1,7.1,93,9,2.3,2,2,8,0,0.4,25,6,3.8,1.4,1.1,Browsing,6,6.8,8.4
694,Majid Tigha,18,Female,Mila,11th,2.8,6.3,54,6,1.8,4,8,5,0,0.2,45,10,1.9,1.9,0.0,Other,5,6.8,6.4
695,Ahlem Mecheri,18,Male,Tiaret,10th,4.4,7.0,76,8,0.7,2,7,5,0,1.4,111,20,4.8,1.4,1.0,Other,8,5.7,10.0
696,Azzedine Khaldi,17,Prefer not to say,Jijel,10th,4.0,7.1,98,6,1.9,6,1,8,1,0.3,79,16,1.8,3.4,1.0,Education,5,4.9,10.0
697,Salima Ben Amor,17,Prefer not to say,Khenchela,11th,4.1,7.1,80,3,0.0,10,8,6,1,0.7,121,17,1.0,0.4,1.1,Browsing,6,6.2,7.8
698,Riadh Kaci,17,Prefer not to say,Iferhounène,8th,5.5,7.3,66,4,2.3,1,8,1,1,0.5,89,7,3.3,3.8,1.1,Education,10,7.7,10.0
699,Habiba Iles,15,Male,Laghouat,9th,3.5,5.2,59,2,2.3,9,3,10,0,0.8,81,14,3.5,2.2,0.8,Social Media,10,5.0,10.0
700,Yasmina Menad,13,Prefer not to say,Aït Idjir,10th,3.9,8.4,98,7,1.1,9,2,5,1,1.2,82,8,4.1,2.0,1.6,Browsing,6,11.0,9.0
701,Hana Bessa,15,Male,In Guezzam,11th,7.3,5.0,58,1,0.6,9,9,8,0,0.5,36,17,1.8,3.0,1.4,Social Media,7,4.6,10.0
702,Sabrina Touam,19,Prefer not to say,Aïn Roua,7th,5.0,6.9,50,0,0.4,9,9,2,1,0.7,108,19,1.8,2.3,0.0,Social Media,3,6.7,10.0
703,Reda Bousmaha,15,Prefer not to say,Béni Abbès,8th,8.4,5.2,95,2,0.4,9,6,6,0,0.6,108,14,2.6,2.9,0.1,Browsing,1,2.3,10.0
704,Fella Debbah,13,Female,Birkhadem,12th,5.1,5.2,73,8,1.4,4,1,3,0,2.1,75,5,3.2,2.2,1.5,Other,7,7.4,10.0
705,Soha Tebboune,15,Female,Condé Smendou,8th,5.2,5.7,77,8,2.5,1,8,4,1,1.4,85,15,3.1,2.5,0.3,Social Media,3,7.1,10.0
706,Yahia El Fassi,16,Prefer not to say,Guerrouma,11th,3.5,6.6,74,6,2.0,10,7,1,0,1.1,126,10,2.2,0.9,0.0,Other,1,5.1,7.8
707,Omar Slimani,14,Female,Sidi Aïch,10th,3.7,6.2,77,2,2.2,8,8,8,1,1.1,94,14,1.4,0.5,1.3,Other,7,4.7,7.2
708,Ouahiba Bachiri,16,Male,Aïn Oussara,7th,6.2,6.1,65,0,1.5,5,3,1,1,1.6,79,16,4.6,1.2,0.7,Browsing,2,6.2,10.0
709,Hakim Mahdi,17,Female,Ksar El Abtal,9th,4.5,5.4,83,2,1.9,6,6,4,0,1.0,24,16,1.5,1.1,0.2,Other,2,6.7,8.1
710,Hanane Dris,15,Female,Ouled Moussa,7th,3.6,6.1,89,0,0.8,2,1,5,0,1.6,26,15,3.0,1.0,1.7,Gaming,7,6.5,8.1
711,Zineb Larbi,18,Male,Laïd Madjdoub,11th,7.2,6.4,62,6,1.2,2,9,2,0,1.1,108,6,2.6,1.5,0.5,Browsing,10,7.5,10.0
712,Samir Boussaada,13,Prefer not to say,Biskra,12th,2.8,6.0,79,8,0.7,1,8,4,1,0.6,78,5,2.2,1.3,0.4,Gaming,4,6.7,5.9
713,Faysal Moussaoui,19,Male,Souk El Khemis,10th,7.0,5.1,99,1,0.3,7,4,4,1,0.9,31,9,3.7,0.0,1.4,Education,2,4.1,10.0
714,Kenza Dris,15,Female,Larbaâ Nath Irathen,7th,5.4,8.0,70,4,1.1,10,5,6,1,0.7,135,18,2.3,1.7,1.1,Other,2,6.4,10.0
715,Loubna Benaissa,18,Female,Relizane,10th,0.8,8.9,59,8,0.9,4,6,7,0,1.0,138,9,3.3,2.9,1.0,Other,7,10.0,7.1
716,Habiba Benali,18,Male,Chéraga,11th,5.2,8.6,87,0,1.1,6,10,1,1,0.2,80,12,1.2,1.4,1.7,Social Media,10,4.6,7.5
717,Ouassim Mansouri,17,Prefer not to say,Bousaada,12th,4.6,5.7,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,Browsing,3,7.4,10.0
718,Saida Kaci,15,Prefer not to say,Djelfa,10th,2.7,4.7,69,10,0.0,1,8,4,0,1.4,59,14,1.9,1.2,1.0,Gaming,9,5.3,7.4
719,Kamal Sellami,19,Male,Taoura,7th,4.7,6.3,91,0,1.9,9,5,7,1,1.4,43,19,1.5,1.9,0.9,Other,3,7.2,9.6
720,Fateh Tayebi,17,Male,Beni Messous,10th,6.5,7.1,85,9,1.6,4,9,9,0,1.8,113,13,2.0,0.9,1.5,Browsing,1,4.6,10.0
721,Meriem Ben Aoun,16,Prefer not to say,Timimoun,8th,6.5,9.0,65,6,0.3,5,8,7,0,0.0,116,16,2.0,1.9,0.1,Gaming,9,7.1,10.0
722,Nabil Ferhat,19,Male,Tichrine,12th,4.4,6.1,76,2,0.8,3,2,3,1,1.4,58,7,3.6,1.0,0.7,Social Media,8,6.0,8.5
723,Feryel Mahdi,15,Prefer not to say,Aïn Tesra,7th,7.4,6.8,63,1,0.0,9,8,1,1,1.7,97,16,5.0,3.0,0.0,Other,6,9.2,10.0
724,Majid Louanchi,14,Male,Mizrana,10th,4.2,8.7,79,4,0.6,4,4,5,0,1.0,124,14,3.4,2.2,1.0,Education,10,7.3,10.0
725,Ayoub Haddouche,18,Male,El Harrouch,7th,4.6,5.3,51,10,0.5,9,8,7,0,0.8,124,17,2.0,2.0,0.0,Browsing,1,6.9,10.0
726,Racha Idir,13,Female,Boumedfaa,10th,4.9,5.5,92,10,0.3,9,6,6,0,1.7,139,9,3.8,1.8,1.4,Browsing,4,5.8,10.0
727,Sana Aissaoui,17,Female,In Guezzam,7th,5.5,3.0,66,6,0.7,3,5,1,1,0.9,29,13,2.9,0.5,1.5,Social Media,9,4.6,10.0
728,Soha Haddad,15,Male,Guelma,10th,4.8,5.3,68,7,0.0,7,9,2,1,1.5,97,7,2.0,1.7,0.0,Social Media,3,3.8,9.2
729,Wassila Chabane,19,Female,Adrar,10th,7.0,5.5,69,10,1.7,5,4,9,1,0.8,114,5,1.9,0.7,1.2,Other,10,5.8,10.0
730,Celia Djelloul,16,Male,Tichy,12th,3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6
